2026-07-19 22:23:36 | training_carla_mlp_best | INFO | Epoch 1: loss=5.2533, recon=1.0378, contrast=0.0646
2026-07-19 22:23:40 | training_carla_mlp_best | INFO | Epoch 2: loss=1.7537, recon=0.3489, contrast=0.0094
2026-07-19 22:23:42 | training_carla_mlp_best | INFO | Epoch 3: loss=0.9007, recon=0.1791, contrast=0.0050
2026-07-19 22:23:45 | training_carla_mlp_best | INFO | Epoch 4: loss=0.6271, recon=0.1248, contrast=0.0028
2026-07-19 22:23:49 | training_carla_mlp_best | INFO | Epoch 5: loss=0.5128, recon=0.1022, contrast=0.0017
2026-07-19 22:23:52 | training_carla_mlp_best | INFO | Epoch 6: loss=0.4427, recon=0.0883, contrast=0.0012
2026-07-19 22:23:56 | training_carla_mlp_best | INFO | Epoch 7: loss=0.3983, recon=0.0795, contrast=0.0010
2026-07-19 22:23:59 | training_carla_mlp_best | INFO | Epoch 8: loss=0.3578, recon=0.0714, contrast=0.0008
2026-07-19 22:24:03 | training_carla_mlp_best | INFO | Epoch 9: loss=0.3262, recon=0.0651, contrast=0.0008
2026-07-19 22:24:06 | training_carla_mlp_best | INFO | Epoch 10: loss=0.3026, recon=0.0604, contrast=0.0007
2026-07-19 22:24:10 | training_carla_mlp_best | INFO | Epoch 11: loss=0.2766, recon=0.0552, contrast=0.0006
2026-07-19 22:24:11 | training_carla_mlp_best | INFO | Epoch 12: loss=0.2566, recon=0.0512, contrast=0.0005
2026-07-19 22:24:15 | training_carla_mlp_best | INFO | Epoch 13: loss=0.2398, recon=0.0479, contrast=0.0004
2026-07-19 22:24:19 | training_carla_mlp_best | INFO | Epoch 14: loss=0.2322, recon=0.0463, contrast=0.0004
2026-07-19 22:24:23 | training_carla_mlp_best | INFO | Epoch 15: loss=0.2157, recon=0.0431, contrast=0.0004
2026-07-19 22:24:26 | training_carla_mlp_best | INFO | Epoch 16: loss=0.2013, recon=0.0402, contrast=0.0004
2026-07-19 22:24:30 | training_carla_mlp_best | INFO | Epoch 17: loss=0.1962, recon=0.0392, contrast=0.0004
2026-07-19 22:24:33 | training_carla_mlp_best | INFO | Epoch 18: loss=0.1906, recon=0.0380, contrast=0.0003
2026-07-19 22:24:37 | training_carla_mlp_best | INFO | Epoch 19: loss=0.1818, recon=0.0363, contrast=0.0003
2026-07-19 22:24:40 | training_carla_mlp_best | INFO | Epoch 20: loss=0.1721, recon=0.0344, contrast=0.0003
2026-07-19 22:24:42 | training_carla_mlp_best | INFO | Epoch 21: loss=0.1668, recon=0.0333, contrast=0.0003
2026-07-19 22:24:45 | training_carla_mlp_best | INFO | Epoch 22: loss=0.1594, recon=0.0318, contrast=0.0003
2026-07-19 22:24:49 | training_carla_mlp_best | INFO | Epoch 23: loss=0.1501, recon=0.0300, contrast=0.0002
2026-07-19 22:24:52 | training_carla_mlp_best | INFO | Epoch 24: loss=0.1435, recon=0.0286, contrast=0.0004
2026-07-19 22:24:56 | training_carla_mlp_best | INFO | Epoch 25: loss=0.1419, recon=0.0283, contrast=0.0002
2026-07-19 22:24:59 | training_carla_mlp_best | INFO | Epoch 26: loss=0.1452, recon=0.0290, contrast=0.0002
2026-07-19 22:25:03 | training_carla_mlp_best | INFO | Epoch 27: loss=0.1328, recon=0.0265, contrast=0.0002
2026-07-19 22:25:07 | training_carla_mlp_best | INFO | Epoch 28: loss=0.1324, recon=0.0264, contrast=0.0002
2026-07-19 22:25:10 | training_carla_mlp_best | INFO | Epoch 29: loss=0.1264, recon=0.0253, contrast=0.0002
2026-07-19 22:25:11 | training_carla_mlp_best | INFO | Epoch 30: loss=0.1219, recon=0.0243, contrast=0.0002
2026-07-19 22:25:15 | training_carla_mlp_best | INFO | Epoch 31: loss=0.1223, recon=0.0244, contrast=0.0002
2026-07-19 22:25:18 | training_carla_mlp_best | INFO | Epoch 32: loss=0.1187, recon=0.0237, contrast=0.0001
