2026-07-17 10:46:39 | training_carla_gru_best | INFO | Epoch 1: loss=5.7499, recon=0.9823, contrast=1.6769
2026-07-17 10:46:42 | training_carla_gru_best | INFO | Epoch 2: loss=5.6677, recon=1.0593, contrast=0.7421
2026-07-17 10:46:45 | training_carla_gru_best | INFO | Epoch 3: loss=5.0047, recon=0.9343, contrast=0.6667
2026-07-17 10:46:48 | training_carla_gru_best | INFO | Epoch 4: loss=4.9110, recon=0.9233, contrast=0.5885
2026-07-17 10:46:50 | training_carla_gru_best | INFO | Epoch 5: loss=4.7521, recon=0.8964, contrast=0.5398
2026-07-17 10:46:53 | training_carla_gru_best | INFO | Epoch 6: loss=4.4042, recon=0.8335, contrast=0.4732
2026-07-17 10:46:56 | training_carla_gru_best | INFO | Epoch 7: loss=3.8907, recon=0.7369, contrast=0.4120
2026-07-17 10:46:58 | training_carla_gru_best | INFO | Epoch 8: loss=3.4805, recon=0.6621, contrast=0.3399
2026-07-17 10:47:01 | training_carla_gru_best | INFO | Epoch 9: loss=3.1563, recon=0.6044, contrast=0.2687
2026-07-17 10:47:04 | training_carla_gru_best | INFO | Epoch 10: loss=2.8216, recon=0.5432, contrast=0.2111
2026-07-17 10:47:07 | training_carla_gru_best | INFO | Epoch 11: loss=2.1064, recon=0.4056, contrast=0.1566
2026-07-17 10:47:10 | training_carla_gru_best | INFO | Epoch 12: loss=1.2877, recon=0.2448, contrast=0.1276
2026-07-17 10:47:13 | training_carla_gru_best | INFO | Epoch 13: loss=0.8264, recon=0.1564, contrast=0.0885
2026-07-17 10:47:16 | training_carla_gru_best | INFO | Epoch 14: loss=0.5616, recon=0.1065, contrast=0.0581
2026-07-17 10:47:18 | training_carla_gru_best | INFO | Epoch 15: loss=0.4639, recon=0.0893, contrast=0.0347
2026-07-17 10:47:21 | training_carla_gru_best | INFO | Epoch 16: loss=0.4074, recon=0.0798, contrast=0.0166
2026-07-17 10:47:24 | training_carla_gru_best | INFO | Epoch 17: loss=0.3608, recon=0.0716, contrast=0.0058
2026-07-17 10:47:27 | training_carla_gru_best | INFO | Epoch 18: loss=0.4229, recon=0.0843, contrast=0.0023
2026-07-17 10:47:29 | training_carla_gru_best | INFO | Epoch 19: loss=0.3628, recon=0.0724, contrast=0.0013
2026-07-17 10:47:31 | training_carla_gru_best | INFO | Epoch 20: loss=0.4085, recon=0.0816, contrast=0.0010
2026-07-17 10:47:34 | training_carla_gru_best | INFO | Epoch 21: loss=0.3259, recon=0.0651, contrast=0.0011
2026-07-17 10:47:37 | training_carla_gru_best | INFO | Epoch 22: loss=0.3060, recon=0.0610, contrast=0.0016
2026-07-17 10:47:39 | training_carla_gru_best | INFO | Epoch 23: loss=0.3367, recon=0.0671, contrast=0.0026
2026-07-17 10:47:42 | training_carla_gru_best | INFO | Epoch 24: loss=0.3414, recon=0.0680, contrast=0.0029
2026-07-17 10:47:45 | training_carla_gru_best | INFO | Epoch 25: loss=0.3507, recon=0.0695, contrast=0.0060
2026-07-17 10:47:47 | training_carla_gru_best | INFO | Epoch 26: loss=0.2977, recon=0.0587, contrast=0.0084
2026-07-17 10:47:50 | training_carla_gru_best | INFO | Epoch 27: loss=0.5064, recon=0.0984, contrast=0.0285
2026-07-17 10:47:53 | training_carla_gru_best | INFO | Epoch 28: loss=0.4527, recon=0.0901, contrast=0.0048
2026-07-17 10:47:56 | training_carla_gru_best | INFO | Epoch 29: loss=0.3493, recon=0.0698, contrast=0.0006
2026-07-17 10:47:59 | training_carla_gru_best | INFO | Epoch 30: loss=0.3071, recon=0.0613, contrast=0.0008
2026-07-17 10:48:01 | training_carla_gru_best | INFO | Epoch 31: loss=0.3483, recon=0.0696, contrast=0.0007
2026-07-17 10:48:04 | training_carla_gru_best | INFO | Epoch 32: loss=0.3224, recon=0.0643, contrast=0.0015
2026-07-17 10:48:07 | training_carla_gru_best | INFO | Epoch 33: loss=0.2984, recon=0.0590, contrast=0.0065
2026-07-17 10:48:10 | training_carla_gru_best | INFO | Epoch 34: loss=0.4229, recon=0.0843, contrast=0.0028
2026-07-17 10:48:13 | training_carla_gru_best | INFO | Epoch 35: loss=0.5690, recon=0.1137, contrast=0.0016
2026-07-17 10:48:16 | training_carla_gru_best | INFO | Epoch 36: loss=0.3984, recon=0.0797, contrast=0.0003
2026-07-17 10:48:19 | training_carla_gru_best | INFO | Epoch 37: loss=0.4234, recon=0.0846, contrast=0.0009
