2026-07-17 09:55:32 | training_carla_lstm_best | INFO | Epoch 1: loss=6.6063, recon=0.9958, contrast=1.6272
2026-07-17 09:55:35 | training_carla_lstm_best | INFO | Epoch 2: loss=5.1937, recon=0.9791, contrast=0.2982
2026-07-17 09:55:37 | training_carla_lstm_best | INFO | Epoch 3: loss=4.7099, recon=0.9110, contrast=0.1551
2026-07-17 09:55:40 | training_carla_lstm_best | INFO | Epoch 4: loss=3.8723, recon=0.7546, contrast=0.0992
2026-07-17 09:55:43 | training_carla_lstm_best | INFO | Epoch 5: loss=2.5252, recon=0.4880, contrast=0.0851
2026-07-17 09:55:47 | training_carla_lstm_best | INFO | Epoch 6: loss=1.6249, recon=0.3127, contrast=0.0615
2026-07-17 09:55:50 | training_carla_lstm_best | INFO | Epoch 7: loss=0.8845, recon=0.1705, contrast=0.0321
2026-07-17 09:55:53 | training_carla_lstm_best | INFO | Epoch 8: loss=0.6249, recon=0.1192, contrast=0.0291
2026-07-17 09:55:56 | training_carla_lstm_best | INFO | Epoch 9: loss=0.5345, recon=0.1036, contrast=0.0166
2026-07-17 09:55:59 | training_carla_lstm_best | INFO | Epoch 10: loss=0.5000, recon=0.0969, contrast=0.0154
2026-07-17 09:56:02 | training_carla_lstm_best | INFO | Epoch 11: loss=0.4823, recon=0.0936, contrast=0.0145
2026-07-17 09:56:05 | training_carla_lstm_best | INFO | Epoch 12: loss=0.4794, recon=0.0938, contrast=0.0104
2026-07-17 09:56:08 | training_carla_lstm_best | INFO | Epoch 13: loss=0.4620, recon=0.0909, contrast=0.0076
2026-07-17 09:56:10 | training_carla_lstm_best | INFO | Epoch 14: loss=0.4581, recon=0.0905, contrast=0.0057
2026-07-17 09:56:13 | training_carla_lstm_best | INFO | Epoch 15: loss=0.4449, recon=0.0879, contrast=0.0052
2026-07-17 09:56:16 | training_carla_lstm_best | INFO | Epoch 16: loss=0.4418, recon=0.0873, contrast=0.0052
2026-07-17 09:56:19 | training_carla_lstm_best | INFO | Epoch 17: loss=0.4308, recon=0.0851, contrast=0.0051
2026-07-17 09:56:22 | training_carla_lstm_best | INFO | Epoch 18: loss=0.4216, recon=0.0836, contrast=0.0036
2026-07-17 09:56:25 | training_carla_lstm_best | INFO | Epoch 19: loss=0.4184, recon=0.0829, contrast=0.0037
2026-07-17 09:56:29 | training_carla_lstm_best | INFO | Epoch 20: loss=0.4209, recon=0.0835, contrast=0.0035
2026-07-17 09:56:32 | training_carla_lstm_best | INFO | Epoch 21: loss=0.4219, recon=0.0837, contrast=0.0032
2026-07-17 09:56:35 | training_carla_lstm_best | INFO | Epoch 22: loss=0.4048, recon=0.0805, contrast=0.0024
2026-07-17 09:56:38 | training_carla_lstm_best | INFO | Epoch 23: loss=0.3989, recon=0.0792, contrast=0.0030
2026-07-17 09:56:40 | training_carla_lstm_best | INFO | Epoch 24: loss=0.3898, recon=0.0775, contrast=0.0023
2026-07-17 09:56:43 | training_carla_lstm_best | INFO | Epoch 25: loss=0.3883, recon=0.0771, contrast=0.0027
2026-07-17 09:56:46 | training_carla_lstm_best | INFO | Epoch 26: loss=0.3831, recon=0.0761, contrast=0.0026
2026-07-17 09:56:49 | training_carla_lstm_best | INFO | Epoch 27: loss=0.3834, recon=0.0762, contrast=0.0023
2026-07-17 09:56:52 | training_carla_lstm_best | INFO | Epoch 28: loss=0.3767, recon=0.0749, contrast=0.0020
2026-07-17 09:56:55 | training_carla_lstm_best | INFO | Epoch 29: loss=0.3746, recon=0.0745, contrast=0.0023
2026-07-17 09:56:58 | training_carla_lstm_best | INFO | Epoch 30: loss=0.3712, recon=0.0737, contrast=0.0026
2026-07-17 09:57:01 | training_carla_lstm_best | INFO | Epoch 31: loss=0.3633, recon=0.0723, contrast=0.0016
2026-07-17 09:57:04 | training_carla_lstm_best | INFO | Epoch 32: loss=0.3701, recon=0.0736, contrast=0.0021
2026-07-17 09:57:07 | training_carla_lstm_best | INFO | Epoch 33: loss=0.3602, recon=0.0715, contrast=0.0027
2026-07-17 09:57:10 | training_carla_lstm_best | INFO | Epoch 34: loss=0.3662, recon=0.0728, contrast=0.0022
2026-07-17 09:57:12 | training_carla_lstm_best | INFO | Epoch 35: loss=0.3573, recon=0.0710, contrast=0.0021
2026-07-17 09:57:15 | training_carla_lstm_best | INFO | Epoch 36: loss=0.3531, recon=0.0703, contrast=0.0019
2026-07-17 09:57:18 | training_carla_lstm_best | INFO | Epoch 37: loss=0.3570, recon=0.0709, contrast=0.0023
2026-07-17 09:57:21 | training_carla_lstm_best | INFO | Epoch 38: loss=0.3478, recon=0.0690, contrast=0.0028
2026-07-17 09:57:24 | training_carla_lstm_best | INFO | Epoch 39: loss=0.3464, recon=0.0689, contrast=0.0021
