2026-07-16 23:11:46 | training_carla_mlp_best | INFO | Epoch 1: loss=5.7382, recon=1.1466, contrast=0.0054
2026-07-16 23:11:47 | training_carla_mlp_best | INFO | Epoch 2: loss=4.8429, recon=0.9685, contrast=0.0002
2026-07-16 23:11:49 | training_carla_mlp_best | INFO | Epoch 3: loss=4.1408, recon=0.8281, contrast=0.0002
2026-07-16 23:11:50 | training_carla_mlp_best | INFO | Epoch 4: loss=3.5494, recon=0.7098, contrast=0.0002
2026-07-16 23:11:52 | training_carla_mlp_best | INFO | Epoch 5: loss=3.0420, recon=0.6084, contrast=0.0001
2026-07-16 23:11:53 | training_carla_mlp_best | INFO | Epoch 6: loss=2.6116, recon=0.5223, contrast=0.0001
2026-07-16 23:11:55 | training_carla_mlp_best | INFO | Epoch 7: loss=2.2406, recon=0.4481, contrast=0.0000
2026-07-16 23:11:56 | training_carla_mlp_best | INFO | Epoch 8: loss=1.9266, recon=0.3853, contrast=0.0000
2026-07-16 23:11:58 | training_carla_mlp_best | INFO | Epoch 9: loss=1.6481, recon=0.3296, contrast=0.0000
2026-07-16 23:11:59 | training_carla_mlp_best | INFO | Epoch 10: loss=1.4060, recon=0.2812, contrast=0.0000
2026-07-16 23:12:01 | training_carla_mlp_best | INFO | Epoch 11: loss=1.1989, recon=0.2398, contrast=0.0000
2026-07-16 23:12:02 | training_carla_mlp_best | INFO | Epoch 12: loss=1.0233, recon=0.2047, contrast=0.0000
2026-07-16 23:12:04 | training_carla_mlp_best | INFO | Epoch 13: loss=0.8737, recon=0.1747, contrast=0.0000
2026-07-16 23:12:05 | training_carla_mlp_best | INFO | Epoch 14: loss=0.7480, recon=0.1496, contrast=0.0000
2026-07-16 23:12:07 | training_carla_mlp_best | INFO | Epoch 15: loss=0.6359, recon=0.1272, contrast=0.0000
2026-07-16 23:12:08 | training_carla_mlp_best | INFO | Epoch 16: loss=0.5426, recon=0.1085, contrast=0.0000
2026-07-16 23:12:10 | training_carla_mlp_best | INFO | Epoch 17: loss=0.4651, recon=0.0930, contrast=0.0000
2026-07-16 23:12:12 | training_carla_mlp_best | INFO | Epoch 18: loss=0.3992, recon=0.0798, contrast=0.0000
