2026-07-17 15:18:00 | training_carla_conv1d_best | INFO | Epoch 1: loss=1.1810, recon=0.1161, contrast=0.0203
2026-07-17 15:18:04 | training_carla_conv1d_best | INFO | Epoch 2: loss=0.2182, recon=0.0215, contrast=0.0037
2026-07-17 15:18:08 | training_carla_conv1d_best | INFO | Epoch 3: loss=0.2089, recon=0.0207, contrast=0.0017
2026-07-17 15:18:12 | training_carla_conv1d_best | INFO | Epoch 4: loss=0.2066, recon=0.0205, contrast=0.0011
2026-07-17 15:18:16 | training_carla_conv1d_best | INFO | Epoch 5: loss=0.2064, recon=0.0206, contrast=0.0008
2026-07-17 15:18:20 | training_carla_conv1d_best | INFO | Epoch 6: loss=0.2050, recon=0.0204, contrast=0.0006
2026-07-17 15:18:25 | training_carla_conv1d_best | INFO | Epoch 7: loss=0.2042, recon=0.0204, contrast=0.0005
2026-07-17 15:18:29 | training_carla_conv1d_best | INFO | Epoch 8: loss=0.2037, recon=0.0203, contrast=0.0004
2026-07-17 15:18:33 | training_carla_conv1d_best | INFO | Epoch 9: loss=0.2036, recon=0.0203, contrast=0.0003
2026-07-17 15:18:36 | training_carla_conv1d_best | INFO | Epoch 10: loss=0.2034, recon=0.0203, contrast=0.0003
2026-07-17 15:18:41 | training_carla_conv1d_best | INFO | Epoch 11: loss=0.2032, recon=0.0203, contrast=0.0002
2026-07-17 15:18:45 | training_carla_conv1d_best | INFO | Epoch 12: loss=0.2036, recon=0.0203, contrast=0.0002
2026-07-17 15:18:49 | training_carla_conv1d_best | INFO | Epoch 13: loss=0.2030, recon=0.0203, contrast=0.0002
2026-07-17 15:18:53 | training_carla_conv1d_best | INFO | Epoch 14: loss=0.2037, recon=0.0204, contrast=0.0002
2026-07-17 15:18:57 | training_carla_conv1d_best | INFO | Epoch 15: loss=0.2028, recon=0.0203, contrast=0.0001
2026-07-17 15:19:01 | training_carla_conv1d_best | INFO | Epoch 16: loss=0.2026, recon=0.0202, contrast=0.0001
2026-07-17 15:19:05 | training_carla_conv1d_best | INFO | Epoch 17: loss=0.2029, recon=0.0203, contrast=0.0001
2026-07-17 15:19:08 | training_carla_conv1d_best | INFO | Epoch 18: loss=0.2031, recon=0.0203, contrast=0.0001
2026-07-17 15:19:13 | training_carla_conv1d_best | INFO | Epoch 19: loss=0.2033, recon=0.0203, contrast=0.0001
2026-07-17 15:19:17 | training_carla_conv1d_best | INFO | Epoch 20: loss=0.2028, recon=0.0203, contrast=0.0001
2026-07-17 15:19:21 | training_carla_conv1d_best | INFO | Epoch 21: loss=0.2030, recon=0.0203, contrast=0.0001
2026-07-17 15:19:25 | training_carla_conv1d_best | INFO | Epoch 22: loss=0.2029, recon=0.0203, contrast=0.0001
2026-07-17 15:19:29 | training_carla_conv1d_best | INFO | Epoch 23: loss=0.2027, recon=0.0203, contrast=0.0001
2026-07-17 15:19:33 | training_carla_conv1d_best | INFO | Epoch 24: loss=0.2027, recon=0.0203, contrast=0.0001
2026-07-17 15:19:37 | training_carla_conv1d_best | INFO | Epoch 25: loss=0.2030, recon=0.0203, contrast=0.0001
2026-07-17 15:19:40 | training_carla_conv1d_best | INFO | Epoch 26: loss=0.2026, recon=0.0203, contrast=0.0001
2026-07-17 15:19:44 | training_carla_conv1d_best | INFO | Epoch 27: loss=0.2029, recon=0.0203, contrast=0.0001
2026-07-17 15:19:48 | training_carla_conv1d_best | INFO | Epoch 28: loss=0.2026, recon=0.0203, contrast=0.0001
2026-07-17 15:19:52 | training_carla_conv1d_best | INFO | Epoch 29: loss=0.2031, recon=0.0203, contrast=0.0001
2026-07-17 15:19:56 | training_carla_conv1d_best | INFO | Epoch 30: loss=0.2025, recon=0.0202, contrast=0.0001
2026-07-17 15:20:00 | training_carla_conv1d_best | INFO | Epoch 31: loss=0.2025, recon=0.0202, contrast=0.0001
2026-07-17 15:20:04 | training_carla_conv1d_best | INFO | Epoch 32: loss=0.2029, recon=0.0203, contrast=0.0001
2026-07-17 15:20:08 | training_carla_conv1d_best | INFO | Epoch 33: loss=0.2026, recon=0.0203, contrast=0.0001
2026-07-17 15:20:11 | training_carla_conv1d_best | INFO | Epoch 34: loss=0.2028, recon=0.0203, contrast=0.0000
2026-07-17 15:20:15 | training_carla_conv1d_best | INFO | Epoch 35: loss=0.2026, recon=0.0203, contrast=0.0000
2026-07-17 15:20:19 | training_carla_conv1d_best | INFO | Epoch 36: loss=0.2028, recon=0.0203, contrast=0.0000
2026-07-17 15:20:23 | training_carla_conv1d_best | INFO | Epoch 37: loss=0.2025, recon=0.0202, contrast=0.0000
2026-07-17 15:20:27 | training_carla_conv1d_best | INFO | Epoch 38: loss=0.2021, recon=0.0202, contrast=0.0000
2026-07-17 15:20:31 | training_carla_conv1d_best | INFO | Epoch 39: loss=0.2020, recon=0.0202, contrast=0.0000
2026-07-17 15:20:35 | training_carla_conv1d_best | INFO | Epoch 40: loss=0.2022, recon=0.0202, contrast=0.0000
2026-07-17 15:20:39 | training_carla_conv1d_best | INFO | Epoch 41: loss=0.2026, recon=0.0203, contrast=0.0000
2026-07-17 15:20:42 | training_carla_conv1d_best | INFO | Epoch 42: loss=0.2028, recon=0.0203, contrast=0.0000
2026-07-17 15:20:46 | training_carla_conv1d_best | INFO | Epoch 43: loss=0.2024, recon=0.0202, contrast=0.0000
2026-07-17 15:20:50 | training_carla_conv1d_best | INFO | Epoch 44: loss=0.2021, recon=0.0202, contrast=0.0000
2026-07-17 15:20:54 | training_carla_conv1d_best | INFO | Epoch 45: loss=0.2020, recon=0.0202, contrast=0.0000
2026-07-17 15:20:58 | training_carla_conv1d_best | INFO | Epoch 46: loss=0.2026, recon=0.0203, contrast=0.0000
2026-07-17 15:21:02 | training_carla_conv1d_best | INFO | Epoch 47: loss=0.2024, recon=0.0202, contrast=0.0000
2026-07-17 15:21:06 | training_carla_conv1d_best | INFO | Epoch 48: loss=0.2025, recon=0.0203, contrast=0.0000
2026-07-17 15:21:10 | training_carla_conv1d_best | INFO | Epoch 49: loss=0.2024, recon=0.0202, contrast=0.0000
2026-07-17 15:21:13 | training_carla_conv1d_best | INFO | Epoch 50: loss=0.2027, recon=0.0203, contrast=0.0000
