2026-07-16 21:40:28 | training_carla_gru_best | INFO | Epoch 54: loss=0.6276, recon=0.0625, contrast=0.0058
2026-07-16 21:40:31 | training_carla_gru_best | INFO | Epoch 55: loss=0.5967, recon=0.0593, contrast=0.0065
2026-07-16 21:40:33 | training_carla_gru_best | INFO | Epoch 56: loss=0.5754, recon=0.0573, contrast=0.0054
2026-07-16 21:40:36 | training_carla_gru_best | INFO | Epoch 57: loss=0.5821, recon=0.0579, contrast=0.0054
2026-07-16 21:40:39 | training_carla_gru_best | INFO | Epoch 58: loss=0.5754, recon=0.0572, contrast=0.0070
2026-07-16 21:40:41 | training_carla_gru_best | INFO | Epoch 59: loss=0.5708, recon=0.0568, contrast=0.0066
2026-07-16 21:40:44 | training_carla_gru_best | INFO | Epoch 60: loss=0.5852, recon=0.0582, contrast=0.0055
2026-07-16 21:40:46 | training_carla_gru_best | INFO | Epoch 61: loss=0.5889, recon=0.0586, contrast=0.0049
2026-07-16 21:40:49 | training_carla_gru_best | INFO | Epoch 62: loss=0.5738, recon=0.0571, contrast=0.0057
2026-07-16 21:40:51 | training_carla_gru_best | INFO | Epoch 63: loss=0.5644, recon=0.0562, contrast=0.0052
2026-07-16 21:40:54 | training_carla_gru_best | INFO | Epoch 64: loss=0.5619, recon=0.0559, contrast=0.0060
2026-07-16 21:40:56 | training_carla_gru_best | INFO | Epoch 65: loss=0.5441, recon=0.0541, contrast=0.0058
2026-07-16 21:40:59 | training_carla_gru_best | INFO | Epoch 66: loss=0.5349, recon=0.0532, contrast=0.0063
2026-07-16 21:41:02 | training_carla_gru_best | INFO | Epoch 67: loss=0.5325, recon=0.0529, contrast=0.0073
2026-07-16 21:41:04 | training_carla_gru_best | INFO | Epoch 68: loss=0.5161, recon=0.0513, contrast=0.0070
2026-07-16 21:41:07 | training_carla_gru_best | INFO | Epoch 69: loss=0.5446, recon=0.0540, contrast=0.0101
2026-07-16 21:41:10 | training_carla_gru_best | INFO | Epoch 70: loss=0.5422, recon=0.0538, contrast=0.0077
2026-07-16 21:41:13 | training_carla_gru_best | INFO | Epoch 71: loss=0.4744, recon=0.0471, contrast=0.0061
2026-07-16 21:41:15 | training_carla_gru_best | INFO | Epoch 72: loss=0.4192, recon=0.0415, contrast=0.0084
2026-07-16 21:41:18 | training_carla_gru_best | INFO | Epoch 73: loss=0.3815, recon=0.0376, contrast=0.0105
2026-07-16 21:41:21 | training_carla_gru_best | INFO | Epoch 74: loss=0.5230, recon=0.0522, contrast=0.0026
2026-07-16 21:41:24 | training_carla_gru_best | INFO | Epoch 75: loss=0.4173, recon=0.0417, contrast=0.0009
2026-07-16 21:41:26 | training_carla_gru_best | INFO | Epoch 76: loss=0.4067, recon=0.0406, contrast=0.0006
2026-07-16 21:41:29 | training_carla_gru_best | INFO | Epoch 77: loss=0.3091, recon=0.0309, contrast=0.0003
2026-07-16 21:41:32 | training_carla_gru_best | INFO | Epoch 78: loss=0.3446, recon=0.0344, contrast=0.0002
2026-07-16 21:41:35 | training_carla_gru_best | INFO | Epoch 79: loss=0.2478, recon=0.0248, contrast=0.0003
2026-07-16 21:41:38 | training_carla_gru_best | INFO | Epoch 80: loss=0.2814, recon=0.0281, contrast=0.0002
2026-07-16 21:41:40 | training_carla_gru_best | INFO | Epoch 81: loss=0.2533, recon=0.0253, contrast=0.0001
2026-07-16 21:41:43 | training_carla_gru_best | INFO | Epoch 82: loss=0.1496, recon=0.0150, contrast=0.0001
2026-07-16 21:41:45 | training_carla_gru_best | INFO | Epoch 83: loss=0.2149, recon=0.0215, contrast=0.0002
2026-07-16 21:41:48 | training_carla_gru_best | INFO | Epoch 84: loss=0.2601, recon=0.0260, contrast=0.0002
2026-07-16 21:41:51 | training_carla_gru_best | INFO | Epoch 85: loss=0.1678, recon=0.0168, contrast=0.0002
