2026-07-17 20:13:26 | training_carla_lstm_best | INFO | Epoch 53: loss=0.0310, recon=0.0061, contrast=0.0003
2026-07-17 20:13:34 | training_carla_lstm_best | INFO | Epoch 54: loss=0.0303, recon=0.0059, contrast=0.0010
2026-07-17 20:13:42 | training_carla_lstm_best | INFO | Epoch 55: loss=0.0311, recon=0.0060, contrast=0.0009
2026-07-17 20:13:49 | training_carla_lstm_best | INFO | Epoch 56: loss=0.0268, recon=0.0053, contrast=0.0002
2026-07-17 20:13:57 | training_carla_lstm_best | INFO | Epoch 57: loss=0.0294, recon=0.0058, contrast=0.0002
2026-07-17 20:14:05 | training_carla_lstm_best | INFO | Epoch 58: loss=0.0263, recon=0.0052, contrast=0.0002
2026-07-17 20:14:12 | training_carla_lstm_best | INFO | Epoch 59: loss=0.0242, recon=0.0048, contrast=0.0002
2026-07-17 20:14:20 | training_carla_lstm_best | INFO | Epoch 60: loss=0.0251, recon=0.0050, contrast=0.0002
2026-07-17 20:14:28 | training_carla_lstm_best | INFO | Epoch 61: loss=0.0277, recon=0.0055, contrast=0.0002
2026-07-17 20:14:36 | training_carla_lstm_best | INFO | Epoch 62: loss=0.0244, recon=0.0049, contrast=0.0002
2026-07-17 20:14:43 | training_carla_lstm_best | INFO | Epoch 63: loss=0.0220, recon=0.0044, contrast=0.0001
2026-07-17 20:14:51 | training_carla_lstm_best | INFO | Epoch 64: loss=0.0233, recon=0.0046, contrast=0.0001
2026-07-17 20:14:59 | training_carla_lstm_best | INFO | Epoch 65: loss=0.0243, recon=0.0048, contrast=0.0001
2026-07-17 20:15:06 | training_carla_lstm_best | INFO | Epoch 66: loss=0.0247, recon=0.0049, contrast=0.0001
2026-07-17 20:15:14 | training_carla_lstm_best | INFO | Epoch 67: loss=0.0217, recon=0.0043, contrast=0.0002
2026-07-17 20:15:22 | training_carla_lstm_best | INFO | Epoch 68: loss=0.0203, recon=0.0040, contrast=0.0001
2026-07-17 20:15:29 | training_carla_lstm_best | INFO | Epoch 69: loss=0.0218, recon=0.0043, contrast=0.0001
2026-07-17 20:15:37 | training_carla_lstm_best | INFO | Epoch 70: loss=0.0205, recon=0.0041, contrast=0.0001
2026-07-17 20:15:44 | training_carla_lstm_best | INFO | Epoch 71: loss=0.0244, recon=0.0049, contrast=0.0001
2026-07-17 20:15:53 | training_carla_lstm_best | INFO | Epoch 72: loss=0.0210, recon=0.0038, contrast=0.0017
2026-07-17 20:16:00 | training_carla_lstm_best | INFO | Epoch 73: loss=0.0207, recon=0.0041, contrast=0.0003
2026-07-17 20:16:08 | training_carla_lstm_best | INFO | Epoch 74: loss=0.0201, recon=0.0040, contrast=0.0002
2026-07-17 20:16:16 | training_carla_lstm_best | INFO | Epoch 75: loss=0.0174, recon=0.0035, contrast=0.0001
2026-07-17 20:16:24 | training_carla_lstm_best | INFO | Epoch 76: loss=0.0232, recon=0.0046, contrast=0.0001
2026-07-17 20:16:32 | training_carla_lstm_best | INFO | Epoch 77: loss=0.0184, recon=0.0037, contrast=0.0001
