2026-07-18 00:25:48 | training_carla_gru_best | INFO | Epoch 1: loss=4.7359, recon=0.8000, contrast=0.7357
2026-07-18 00:25:57 | training_carla_gru_best | INFO | Epoch 2: loss=2.2055, recon=0.3905, contrast=0.2528
2026-07-18 00:26:06 | training_carla_gru_best | INFO | Epoch 3: loss=0.8361, recon=0.1399, contrast=0.1367
2026-07-18 00:26:15 | training_carla_gru_best | INFO | Epoch 4: loss=0.5522, recon=0.0895, contrast=0.1048
2026-07-18 00:26:23 | training_carla_gru_best | INFO | Epoch 5: loss=0.6661, recon=0.0876, contrast=0.2281
2026-07-18 00:26:32 | training_carla_gru_best | INFO | Epoch 6: loss=0.4699, recon=0.0714, contrast=0.1128
2026-07-18 00:26:40 | training_carla_gru_best | INFO | Epoch 7: loss=0.5364, recon=0.0728, contrast=0.1723
2026-07-18 00:26:49 | training_carla_gru_best | INFO | Epoch 8: loss=0.3549, recon=0.0702, contrast=0.0039
2026-07-18 00:26:57 | training_carla_gru_best | INFO | Epoch 9: loss=0.3234, recon=0.0645, contrast=0.0007
2026-07-18 00:27:06 | training_carla_gru_best | INFO | Epoch 10: loss=0.3638, recon=0.0727, contrast=0.0004
2026-07-18 00:27:14 | training_carla_gru_best | INFO | Epoch 11: loss=0.3512, recon=0.0702, contrast=0.0003
2026-07-18 00:27:22 | training_carla_gru_best | INFO | Epoch 12: loss=0.3421, recon=0.0684, contrast=0.0001
2026-07-18 00:27:31 | training_carla_gru_best | INFO | Epoch 13: loss=0.3232, recon=0.0646, contrast=0.0001
2026-07-18 00:27:39 | training_carla_gru_best | INFO | Epoch 14: loss=0.3621, recon=0.0724, contrast=0.0001
2026-07-18 00:27:48 | training_carla_gru_best | INFO | Epoch 15: loss=0.3855, recon=0.0771, contrast=0.0001
2026-07-18 00:27:57 | training_carla_gru_best | INFO | Epoch 16: loss=0.3255, recon=0.0651, contrast=0.0001
2026-07-18 00:28:04 | training_carla_gru_best | INFO | Epoch 17: loss=0.3203, recon=0.0641, contrast=0.0001
2026-07-18 00:28:13 | training_carla_gru_best | INFO | Epoch 18: loss=0.3291, recon=0.0658, contrast=0.0001
2026-07-18 00:28:21 | training_carla_gru_best | INFO | Epoch 19: loss=0.3228, recon=0.0645, contrast=0.0001
2026-07-18 00:28:29 | training_carla_gru_best | INFO | Epoch 20: loss=0.3123, recon=0.0624, contrast=0.0001
2026-07-18 00:28:38 | training_carla_gru_best | INFO | Epoch 21: loss=0.3253, recon=0.0650, contrast=0.0001
2026-07-18 00:28:46 | training_carla_gru_best | INFO | Epoch 22: loss=0.3243, recon=0.0648, contrast=0.0000
2026-07-18 00:28:55 | training_carla_gru_best | INFO | Epoch 23: loss=0.3301, recon=0.0660, contrast=0.0000
2026-07-18 00:29:03 | training_carla_gru_best | INFO | Epoch 24: loss=0.3054, recon=0.0611, contrast=0.0000
2026-07-18 00:29:11 | training_carla_gru_best | INFO | Epoch 25: loss=0.3188, recon=0.0638, contrast=0.0000
2026-07-18 00:29:20 | training_carla_gru_best | INFO | Epoch 26: loss=0.3624, recon=0.0725, contrast=0.0000
