2026-07-15 22:26:28 | training_carla_best | INFO | Epoch 1: loss=0.6764, recon=0.9968, contrast=0.0890
2026-07-15 22:26:29 | training_carla_best | INFO | Epoch 2: loss=0.2613, recon=0.3602, contrast=0.0406
2026-07-15 22:26:31 | training_carla_best | INFO | Epoch 3: loss=0.1353, recon=0.1829, contrast=0.0219
2026-07-15 22:26:32 | training_carla_best | INFO | Epoch 4: loss=0.0852, recon=0.1126, contrast=0.0145
2026-07-15 22:26:34 | training_carla_best | INFO | Epoch 5: loss=0.0620, recon=0.0819, contrast=0.0105
2026-07-15 22:26:36 | training_carla_best | INFO | Epoch 6: loss=0.0501, recon=0.0664, contrast=0.0084
2026-07-15 22:26:37 | training_carla_best | INFO | Epoch 7: loss=0.0425, recon=0.0565, contrast=0.0071
2026-07-15 22:26:39 | training_carla_best | INFO | Epoch 8: loss=0.0369, recon=0.0490, contrast=0.0062
2026-07-15 22:26:40 | training_carla_best | INFO | Epoch 9: loss=0.0318, recon=0.0427, contrast=0.0053
2026-07-15 22:26:42 | training_carla_best | INFO | Epoch 10: loss=0.0281, recon=0.0378, contrast=0.0046
2026-07-15 22:26:44 | training_carla_best | INFO | Epoch 11: loss=0.0249, recon=0.0340, contrast=0.0040
2026-07-15 22:26:45 | training_carla_best | INFO | Epoch 12: loss=0.0229, recon=0.0310, contrast=0.0037
2026-07-15 22:26:47 | training_carla_best | INFO | Epoch 13: loss=0.0209, recon=0.0290, contrast=0.0032
2026-07-15 22:26:49 | training_carla_best | INFO | Epoch 14: loss=0.0195, recon=0.0273, contrast=0.0029
2026-07-15 22:26:50 | training_carla_best | INFO | Epoch 15: loss=0.0185, recon=0.0263, contrast=0.0027
2026-07-15 22:26:52 | training_carla_best | INFO | Epoch 16: loss=0.0174, recon=0.0254, contrast=0.0024
2026-07-15 22:26:53 | training_carla_best | INFO | Epoch 17: loss=0.0167, recon=0.0247, contrast=0.0022
2026-07-15 22:26:55 | training_carla_best | INFO | Epoch 18: loss=0.0161, recon=0.0241, contrast=0.0020
2026-07-15 22:26:57 | training_carla_best | INFO | Epoch 19: loss=0.0156, recon=0.0237, contrast=0.0019
2026-07-15 22:26:58 | training_carla_best | INFO | Epoch 20: loss=0.0151, recon=0.0234, contrast=0.0017
2026-07-15 22:27:00 | training_carla_best | INFO | Epoch 21: loss=0.0149, recon=0.0231, contrast=0.0017
2026-07-15 22:27:01 | training_carla_best | INFO | Epoch 22: loss=0.0144, recon=0.0229, contrast=0.0015
2026-07-15 22:27:03 | training_carla_best | INFO | Epoch 23: loss=0.0141, recon=0.0227, contrast=0.0014
2026-07-15 22:27:05 | training_carla_best | INFO | Epoch 24: loss=0.0139, recon=0.0225, contrast=0.0013
2026-07-15 22:27:06 | training_carla_best | INFO | Epoch 25: loss=0.0136, recon=0.0224, contrast=0.0012
2026-07-15 22:27:07 | training_carla_best | INFO | Epoch 26: loss=0.0134, recon=0.0222, contrast=0.0012
2026-07-15 22:27:09 | training_carla_best | INFO | Epoch 27: loss=0.0133, recon=0.0221, contrast=0.0011
2026-07-15 22:27:11 | training_carla_best | INFO | Epoch 28: loss=0.0131, recon=0.0220, contrast=0.0011
2026-07-15 22:27:12 | training_carla_best | INFO | Epoch 29: loss=0.0129, recon=0.0219, contrast=0.0010
2026-07-15 22:27:14 | training_carla_best | INFO | Epoch 30: loss=0.0127, recon=0.0218, contrast=0.0009
2026-07-15 22:27:16 | training_carla_best | INFO | Epoch 31: loss=0.0127, recon=0.0217, contrast=0.0009
2026-07-15 22:27:17 | training_carla_best | INFO | Epoch 32: loss=0.0125, recon=0.0216, contrast=0.0008
2026-07-15 22:27:19 | training_carla_best | INFO | Epoch 33: loss=0.0125, recon=0.0216, contrast=0.0008
2026-07-15 22:27:20 | training_carla_best | INFO | Epoch 34: loss=0.0123, recon=0.0215, contrast=0.0008
2026-07-15 22:27:22 | training_carla_best | INFO | Epoch 35: loss=0.0122, recon=0.0215, contrast=0.0007
2026-07-15 22:27:24 | training_carla_best | INFO | Epoch 36: loss=0.0121, recon=0.0214, contrast=0.0007
2026-07-15 22:27:25 | training_carla_best | INFO | Epoch 37: loss=0.0121, recon=0.0213, contrast=0.0007
2026-07-15 22:27:27 | training_carla_best | INFO | Epoch 38: loss=0.0120, recon=0.0213, contrast=0.0007
2026-07-15 22:27:29 | training_carla_best | INFO | Epoch 39: loss=0.0119, recon=0.0212, contrast=0.0006
2026-07-15 22:27:30 | training_carla_best | INFO | Epoch 40: loss=0.0119, recon=0.0212, contrast=0.0006
2026-07-15 22:27:32 | training_carla_best | INFO | Epoch 41: loss=0.0118, recon=0.0211, contrast=0.0006
2026-07-15 22:27:34 | training_carla_best | INFO | Epoch 42: loss=0.0117, recon=0.0211, contrast=0.0006
2026-07-15 22:27:35 | training_carla_best | INFO | Epoch 43: loss=0.0117, recon=0.0211, contrast=0.0006
2026-07-15 22:27:37 | training_carla_best | INFO | Epoch 44: loss=0.0116, recon=0.0210, contrast=0.0005
2026-07-15 22:27:39 | training_carla_best | INFO | Epoch 45: loss=0.0116, recon=0.0211, contrast=0.0005
2026-07-15 22:27:40 | training_carla_best | INFO | Epoch 46: loss=0.0116, recon=0.0210, contrast=0.0005
2026-07-15 22:27:42 | training_carla_best | INFO | Epoch 47: loss=0.0115, recon=0.0210, contrast=0.0005
