2026-07-17 09:04:23 | training_carla_conv1d_best | INFO | Epoch 1: loss=2.4132, recon=0.4826, contrast=0.0008
2026-07-17 09:04:24 | training_carla_conv1d_best | INFO | Epoch 2: loss=0.1865, recon=0.0373, contrast=0.0001
2026-07-17 09:04:26 | training_carla_conv1d_best | INFO | Epoch 3: loss=0.0827, recon=0.0165, contrast=0.0000
2026-07-17 09:04:27 | training_carla_conv1d_best | INFO | Epoch 4: loss=0.0437, recon=0.0087, contrast=0.0000
2026-07-17 09:04:29 | training_carla_conv1d_best | INFO | Epoch 5: loss=0.0310, recon=0.0062, contrast=0.0000
2026-07-17 09:04:30 | training_carla_conv1d_best | INFO | Epoch 6: loss=0.0258, recon=0.0052, contrast=0.0000
2026-07-17 09:04:32 | training_carla_conv1d_best | INFO | Epoch 7: loss=0.0229, recon=0.0046, contrast=0.0000
2026-07-17 09:04:34 | training_carla_conv1d_best | INFO | Epoch 8: loss=0.0211, recon=0.0042, contrast=0.0000
2026-07-17 09:04:35 | training_carla_conv1d_best | INFO | Epoch 9: loss=0.0198, recon=0.0040, contrast=0.0000
2026-07-17 09:04:37 | training_carla_conv1d_best | INFO | Epoch 10: loss=0.0188, recon=0.0038, contrast=0.0000
2026-07-17 09:04:38 | training_carla_conv1d_best | INFO | Epoch 11: loss=0.0180, recon=0.0036, contrast=0.0000
2026-07-17 09:04:40 | training_carla_conv1d_best | INFO | Epoch 12: loss=0.0174, recon=0.0035, contrast=0.0000
2026-07-17 09:04:41 | training_carla_conv1d_best | INFO | Epoch 13: loss=0.0169, recon=0.0034, contrast=0.0000
2026-07-17 09:04:43 | training_carla_conv1d_best | INFO | Epoch 14: loss=0.0165, recon=0.0033, contrast=0.0000
2026-07-17 09:04:44 | training_carla_conv1d_best | INFO | Epoch 15: loss=0.0162, recon=0.0032, contrast=0.0000
2026-07-17 09:04:46 | training_carla_conv1d_best | INFO | Epoch 16: loss=0.0159, recon=0.0032, contrast=0.0000
2026-07-17 09:04:47 | training_carla_conv1d_best | INFO | Epoch 17: loss=0.0157, recon=0.0031, contrast=0.0000
2026-07-17 09:04:48 | training_carla_conv1d_best | INFO | Epoch 18: loss=0.0155, recon=0.0031, contrast=0.0000
2026-07-17 09:04:50 | training_carla_conv1d_best | INFO | Epoch 19: loss=0.0153, recon=0.0031, contrast=0.0000
2026-07-17 09:04:51 | training_carla_conv1d_best | INFO | Epoch 20: loss=0.0152, recon=0.0030, contrast=0.0000
2026-07-17 09:04:53 | training_carla_conv1d_best | INFO | Epoch 21: loss=0.0151, recon=0.0030, contrast=0.0000
2026-07-17 09:04:54 | training_carla_conv1d_best | INFO | Epoch 22: loss=0.0150, recon=0.0030, contrast=0.0000
2026-07-17 09:04:56 | training_carla_conv1d_best | INFO | Epoch 23: loss=0.0149, recon=0.0030, contrast=0.0000
2026-07-17 09:04:57 | training_carla_conv1d_best | INFO | Epoch 24: loss=0.0148, recon=0.0030, contrast=0.0000
2026-07-17 09:04:59 | training_carla_conv1d_best | INFO | Epoch 25: loss=0.0147, recon=0.0029, contrast=0.0000
2026-07-17 09:05:00 | training_carla_conv1d_best | INFO | Epoch 26: loss=0.0146, recon=0.0029, contrast=0.0000
2026-07-17 09:05:02 | training_carla_conv1d_best | INFO | Epoch 27: loss=0.0146, recon=0.0029, contrast=0.0000
2026-07-17 09:05:03 | training_carla_conv1d_best | INFO | Epoch 28: loss=0.0145, recon=0.0029, contrast=0.0000
2026-07-17 09:05:05 | training_carla_conv1d_best | INFO | Epoch 29: loss=0.0145, recon=0.0029, contrast=0.0000
2026-07-17 09:05:06 | training_carla_conv1d_best | INFO | Epoch 30: loss=0.0144, recon=0.0029, contrast=0.0000
2026-07-17 09:05:08 | training_carla_conv1d_best | INFO | Epoch 31: loss=0.0144, recon=0.0029, contrast=0.0000
2026-07-17 09:05:09 | training_carla_conv1d_best | INFO | Epoch 32: loss=0.0143, recon=0.0029, contrast=0.0000
2026-07-17 09:05:11 | training_carla_conv1d_best | INFO | Epoch 33: loss=0.0143, recon=0.0029, contrast=0.0000
2026-07-17 09:05:12 | training_carla_conv1d_best | INFO | Epoch 34: loss=0.0143, recon=0.0029, contrast=0.0000
2026-07-17 09:05:14 | training_carla_conv1d_best | INFO | Epoch 35: loss=0.0142, recon=0.0028, contrast=0.0000
2026-07-17 09:05:15 | training_carla_conv1d_best | INFO | Epoch 36: loss=0.0142, recon=0.0028, contrast=0.0000
2026-07-17 09:05:17 | training_carla_conv1d_best | INFO | Epoch 37: loss=0.0141, recon=0.0028, contrast=0.0000
2026-07-17 09:05:18 | training_carla_conv1d_best | INFO | Epoch 38: loss=0.0141, recon=0.0028, contrast=0.0000
