2026-07-16 20:44:28 | training_carla_lstm_best | INFO | Epoch 1: loss=5.5643, recon=0.9933, contrast=0.5976
2026-07-16 20:44:31 | training_carla_lstm_best | INFO | Epoch 2: loss=4.8281, recon=0.9336, contrast=0.1602
2026-07-16 20:44:34 | training_carla_lstm_best | INFO | Epoch 3: loss=3.6435, recon=0.7085, contrast=0.1012
2026-07-16 20:44:36 | training_carla_lstm_best | INFO | Epoch 4: loss=2.3509, recon=0.4558, contrast=0.0720
2026-07-16 20:44:39 | training_carla_lstm_best | INFO | Epoch 5: loss=1.4364, recon=0.2775, contrast=0.0487
2026-07-16 20:44:41 | training_carla_lstm_best | INFO | Epoch 6: loss=0.9408, recon=0.1812, contrast=0.0346
2026-07-16 20:44:44 | training_carla_lstm_best | INFO | Epoch 7: loss=0.6941, recon=0.1347, contrast=0.0206
2026-07-16 20:44:47 | training_carla_lstm_best | INFO | Epoch 8: loss=0.5471, recon=0.1062, contrast=0.0160
2026-07-16 20:44:49 | training_carla_lstm_best | INFO | Epoch 9: loss=0.5370, recon=0.1047, contrast=0.0133
2026-07-16 20:44:52 | training_carla_lstm_best | INFO | Epoch 10: loss=0.5770, recon=0.1134, contrast=0.0100
2026-07-16 20:44:55 | training_carla_lstm_best | INFO | Epoch 11: loss=0.4640, recon=0.0908, contrast=0.0098
2026-07-16 20:44:58 | training_carla_lstm_best | INFO | Epoch 12: loss=0.4079, recon=0.0801, contrast=0.0073
2026-07-16 20:45:00 | training_carla_lstm_best | INFO | Epoch 13: loss=0.3890, recon=0.0765, contrast=0.0066
2026-07-16 20:45:03 | training_carla_lstm_best | INFO | Epoch 14: loss=0.3796, recon=0.0747, contrast=0.0059
2026-07-16 20:45:05 | training_carla_lstm_best | INFO | Epoch 15: loss=0.3676, recon=0.0726, contrast=0.0047
2026-07-16 20:45:08 | training_carla_lstm_best | INFO | Epoch 16: loss=0.3402, recon=0.0671, contrast=0.0050
2026-07-16 20:45:11 | training_carla_lstm_best | INFO | Epoch 17: loss=0.3371, recon=0.0664, contrast=0.0052
2026-07-16 20:45:14 | training_carla_lstm_best | INFO | Epoch 18: loss=0.3055, recon=0.0597, contrast=0.0072
2026-07-16 20:45:16 | training_carla_lstm_best | INFO | Epoch 19: loss=0.3108, recon=0.0603, contrast=0.0094
2026-07-16 20:45:19 | training_carla_lstm_best | INFO | Epoch 20: loss=0.4239, recon=0.0834, contrast=0.0068
2026-07-16 20:45:21 | training_carla_lstm_best | INFO | Epoch 21: loss=0.2535, recon=0.0502, contrast=0.0026
2026-07-16 20:45:24 | training_carla_lstm_best | INFO | Epoch 22: loss=0.1699, recon=0.0332, contrast=0.0039
2026-07-16 20:45:27 | training_carla_lstm_best | INFO | Epoch 23: loss=0.1438, recon=0.0282, contrast=0.0029
2026-07-16 20:45:30 | training_carla_lstm_best | INFO | Epoch 24: loss=0.1002, recon=0.0197, contrast=0.0017
2026-07-16 20:45:32 | training_carla_lstm_best | INFO | Epoch 25: loss=0.0829, recon=0.0164, contrast=0.0008
2026-07-16 20:45:35 | training_carla_lstm_best | INFO | Epoch 26: loss=0.0764, recon=0.0152, contrast=0.0006
2026-07-16 20:45:38 | training_carla_lstm_best | INFO | Epoch 27: loss=0.0695, recon=0.0138, contrast=0.0005
2026-07-16 20:45:40 | training_carla_lstm_best | INFO | Epoch 28: loss=0.0765, recon=0.0152, contrast=0.0004
2026-07-16 20:45:43 | training_carla_lstm_best | INFO | Epoch 29: loss=0.0711, recon=0.0142, contrast=0.0003
2026-07-16 20:45:46 | training_carla_lstm_best | INFO | Epoch 30: loss=0.0917, recon=0.0183, contrast=0.0003
2026-07-16 20:45:48 | training_carla_lstm_best | INFO | Epoch 31: loss=0.0683, recon=0.0136, contrast=0.0002
2026-07-16 20:45:51 | training_carla_lstm_best | INFO | Epoch 32: loss=0.0949, recon=0.0189, contrast=0.0003
2026-07-16 20:45:54 | training_carla_lstm_best | INFO | Epoch 33: loss=0.0663, recon=0.0132, contrast=0.0002
2026-07-16 20:45:56 | training_carla_lstm_best | INFO | Epoch 34: loss=0.0697, recon=0.0139, contrast=0.0002
2026-07-16 20:45:59 | training_carla_lstm_best | INFO | Epoch 35: loss=0.0593, recon=0.0118, contrast=0.0002
2026-07-16 20:46:01 | training_carla_lstm_best | INFO | Epoch 36: loss=0.0582, recon=0.0116, contrast=0.0002
2026-07-16 20:46:04 | training_carla_lstm_best | INFO | Epoch 37: loss=0.0992, recon=0.0198, contrast=0.0002
2026-07-16 20:46:06 | training_carla_lstm_best | INFO | Epoch 38: loss=0.0687, recon=0.0137, contrast=0.0001
2026-07-16 20:46:09 | training_carla_lstm_best | INFO | Epoch 39: loss=0.0548, recon=0.0109, contrast=0.0001
2026-07-16 20:46:12 | training_carla_lstm_best | INFO | Epoch 40: loss=0.0616, recon=0.0123, contrast=0.0001
2026-07-16 20:46:15 | training_carla_lstm_best | INFO | Epoch 41: loss=0.0501, recon=0.0100, contrast=0.0001
2026-07-16 20:46:18 | training_carla_lstm_best | INFO | Epoch 42: loss=0.0791, recon=0.0158, contrast=0.0001
2026-07-16 20:46:20 | training_carla_lstm_best | INFO | Epoch 43: loss=0.0517, recon=0.0103, contrast=0.0001
2026-07-16 20:46:23 | training_carla_lstm_best | INFO | Epoch 44: loss=0.0675, recon=0.0135, contrast=0.0001
2026-07-16 20:46:25 | training_carla_lstm_best | INFO | Epoch 45: loss=0.0568, recon=0.0113, contrast=0.0001
