2026-07-16 16:11:02 | training_carla_best | INFO | Epoch 1: loss=0.8991, recon=1.6920, contrast=0.1063
2026-07-16 16:11:07 | training_carla_best | INFO | Epoch 2: loss=0.5125, recon=1.0164, contrast=0.0086
2026-07-16 16:11:12 | training_carla_best | INFO | Epoch 3: loss=0.5035, recon=1.0057, contrast=0.0013
2026-07-16 16:11:17 | training_carla_best | INFO | Epoch 4: loss=0.5011, recon=1.0015, contrast=0.0007
2026-07-16 16:11:22 | training_carla_best | INFO | Epoch 5: loss=0.5005, recon=1.0006, contrast=0.0005
2026-07-16 16:11:27 | training_carla_best | INFO | Epoch 6: loss=0.5001, recon=0.9998, contrast=0.0004
2026-07-16 16:11:31 | training_carla_best | INFO | Epoch 7: loss=0.5002, recon=1.0000, contrast=0.0003
2026-07-16 16:11:36 | training_carla_best | INFO | Epoch 8: loss=0.5002, recon=1.0000, contrast=0.0003
2026-07-16 16:11:41 | training_carla_best | INFO | Epoch 9: loss=0.5001, recon=1.0000, contrast=0.0002
2026-07-16 16:11:46 | training_carla_best | INFO | Epoch 10: loss=0.5001, recon=1.0000, contrast=0.0002
2026-07-16 16:11:51 | training_carla_best | INFO | Epoch 11: loss=0.5001, recon=1.0000, contrast=0.0002
2026-07-16 16:11:55 | training_carla_best | INFO | Epoch 12: loss=0.5001, recon=1.0001, contrast=0.0002
2026-07-16 16:12:00 | training_carla_best | INFO | Epoch 13: loss=0.4999, recon=0.9997, contrast=0.0002
2026-07-16 16:12:05 | training_carla_best | INFO | Epoch 14: loss=0.5000, recon=0.9998, contrast=0.0002
2026-07-16 16:12:10 | training_carla_best | INFO | Epoch 15: loss=0.4998, recon=0.9994, contrast=0.0001
2026-07-16 16:12:14 | training_carla_best | INFO | Epoch 16: loss=0.5000, recon=0.9999, contrast=0.0001
2026-07-16 16:12:19 | training_carla_best | INFO | Epoch 17: loss=0.4999, recon=0.9997, contrast=0.0001
2026-07-16 16:12:24 | training_carla_best | INFO | Epoch 18: loss=0.5000, recon=1.0000, contrast=0.0001
2026-07-16 16:12:28 | training_carla_best | INFO | Epoch 19: loss=0.5000, recon=1.0000, contrast=0.0001
2026-07-16 16:12:33 | training_carla_best | INFO | Epoch 20: loss=0.4999, recon=0.9997, contrast=0.0001
2026-07-16 16:12:37 | training_carla_best | INFO | Epoch 21: loss=0.4999, recon=0.9998, contrast=0.0001
2026-07-16 16:12:42 | training_carla_best | INFO | Epoch 22: loss=0.5000, recon=1.0000, contrast=0.0001
2026-07-16 16:12:46 | training_carla_best | INFO | Epoch 23: loss=0.4997, recon=0.9994, contrast=0.0001
2026-07-16 16:12:51 | training_carla_best | INFO | Epoch 24: loss=0.4999, recon=0.9997, contrast=0.0001
2026-07-16 16:12:55 | training_carla_best | INFO | Epoch 25: loss=0.4995, recon=0.9990, contrast=0.0001
2026-07-16 16:13:00 | training_carla_best | INFO | Epoch 26: loss=0.4997, recon=0.9992, contrast=0.0001
2026-07-16 16:13:04 | training_carla_best | INFO | Epoch 27: loss=0.4996, recon=0.9992, contrast=0.0001
2026-07-16 16:13:09 | training_carla_best | INFO | Epoch 28: loss=0.4995, recon=0.9990, contrast=0.0001
2026-07-16 16:13:13 | training_carla_best | INFO | Epoch 29: loss=0.4995, recon=0.9989, contrast=0.0001
2026-07-16 16:13:18 | training_carla_best | INFO | Epoch 30: loss=0.4994, recon=0.9988, contrast=0.0001
2026-07-16 16:13:23 | training_carla_best | INFO | Epoch 31: loss=0.4992, recon=0.9983, contrast=0.0001
2026-07-16 16:13:27 | training_carla_best | INFO | Epoch 32: loss=0.4989, recon=0.9978, contrast=0.0001
2026-07-16 16:13:32 | training_carla_best | INFO | Epoch 33: loss=0.4984, recon=0.9966, contrast=0.0001
